article_id,collected_at,published_at,source,title,url,summary,classified,category,event_tags,signal_type,sector,woomi_relevance,claude_rationale,access_limited,korean_summary
42b4bea30340,2026-09-04 13:02:32,2026-01-30 08:00:00,Player — Blue Vista Capital Management,"Blue Vista enters Asia Pacific with new hire - Institutional Real Estate, Inc.",https://news.google.com/rss/articles/CBMidkFVX3lxTE9lTUFZQkdiY2hlVkRKbjhnWEVYN0N6TWY0UnVZT2VmODItY1RET3BjRFRwVXJZZ0dnREg1MEtyUGxiY2w1XzRsd1NpM213SGs2VjNBU2k3Wlpzay00NHU4RWY0MFp3YWYydzZENnBOdXYyYXF0REE?oc=5,"Blue Vista enters Asia Pacific with new hire    Institutional Real Estate, Inc.",False,,,,Student Housing,,,False,
b0340c5d07ba,2026-09-04 13:02:33,2026-01-13 08:00:00,Player — PeakMade Real Estate,"Rebuilding the Bronx: The Arabella brings living options, community and New York City’s first Sky Zone - News12 | Westchester",https://news.google.com/rss/articles/CBMiygFBVV95cUxNYVU1Wld0VkRiZmV2Sjk2Rnp4dlFrRWFWUjlZQTF1TnNOd2Y4UER6RklaMmI2SjlMYl9iZUducmx1OHdPTjVtUGpqSUdOTk5nNDlQRmdCWWdlaFVXLWZiNVFfTkU1RjY2aUpJVVFRNTFkckFXV2FlRXlGcndvM0s1R3RJbTFjRngwSmRrUFE1T1IzamJSRzZBMUNwdlhockZoRnU0ekI0d1IydXFSS0xURkxxd3loYkEwbjBqckVsaXVpcy04NGdrV1hn?oc=5,"Rebuilding the Bronx: The Arabella brings living options, community and New York City’s first Sky Zone    News12 | Westchester",False,,,,Student Housing,,,False,
1204d9503fc4,2026-09-04 13:02:38,2026-01-14 08:00:00,Player — Landmark Properties,Development Announcement For The Walk on Shop Road - Landmark Properties,https://news.google.com/rss/articles/CBMipAJBVV95cUxPX1puaGxLdzBHc1E2ZnAwbjVJVjVaTVpEYkxQSzlmSDFOY2tGYUNjeXVRUU9kS09iYWk1T0x4cjVEMTY2cHJUOElYdmVlWGR0dEJyUjZtMEs4QjNVbnhQandfOXljNG1KcEYzQmpBYnVscTRmR0l1Rk15d1R4U3NJcENRMEVGTnpYaTRkQ2dzcjZhcUJZdVlVTGdGWmRGOFRlLTdGdGhHalcxeWRsRDc1bzJWRDlCQm5vaGdNR0JiVTJkWWYxYnZxN1VjYTFXMk9uZzJ1bDZQaUR2QklqeEZVTy1XRVE3MEszWkV3SkQyWGlNcWp6c2tvRzJuYWNfY3h6SDZsNEExbVZuZEVsSmE5X2FTU1NEdEo4d1NNcllSTzZwS21l?oc=5,Development Announcement For The Walk on Shop Road    Landmark Properties,False,,,,Student Housing,,,False,
9a145a619c64,2026-09-04 13:02:38,2026-01-08 08:00:00,Player — Landmark Properties,Landmark Properties Announces 2025 Milestones - PR Newswire,https://news.google.com/rss/articles/CBMiowFBVV95cUxPbzJXdkxxSFNja3ZMNWUwQkJVd3VlOWY4WlRFVUtKQm9rbFRLeV9IRmVaVVY5ellEYXRmOFBhR0MxYXAxcjFsTndiYVcwa1VWTFFVWW5wejdQcDlhc3h6TmZWRlFIZFBUTVBPMV9sdlBvSEFweWdjOHluRnRtLThEdGJkaTVLTVdXbXBZUTJqM2tGUGtsYl9NdUJmWG1IdFB1MVdr?oc=5,Landmark Properties Announces 2025 Milestones    PR Newswire,False,,,,Student Housing,,,False,
852ed6ab67ae,2026-09-04 13:02:38,2026-01-30 08:00:00,Player — Landmark Properties,Still at the Head of the Class: Student Housing in 2026 - Multifamily Housing News,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFA0ajZ5dHhNT3RpV2FnQTVmeFBuR2lBREJ6MEZCMjBDaWM1TEN2R1ZBN3lrVXNGdVJhdlpOMFlMQ3dnMXVjYkttdmlOMHItZndibW9kcnc4dms0a1QyX2JJNHhNdFBxSjg?oc=5,Still at the Head of the Class: Student Housing in 2026    Multifamily Housing News,False,,,,Student Housing,,,False,
a7764871ca4f,2026-09-04 13:02:39,2026-01-14 08:00:00,Player — Core Spaces,ACC Commission Approves Controversial Student Housing Land Swap - Flagpole,https://news.google.com/rss/articles/CBMisgFBVV95cUxPdTZVV3BlVUtubE15SUNqY2pSUm5jWnhNMi1qWnUyM05hcnZSa0p1N0kwT2dQZ3ZsX3U3Q05lWTUteEVxZGN2MkVjVUVnREdkcjJ0dFNFdVl0cTNmU3dfVFpwOVFtWmc1MHZkMURMdFdxTERjSXRJeHRvdFFEZlk0MlRJWjd1ME5LOVQyVUpRVWptOTNGbXc5anF5OC1CU1g5YWs4aHVIbVctd0dWRERjQU13?oc=5,ACC Commission Approves Controversial Student Housing Land Swap    Flagpole,False,,,,Student Housing,,,False,
73acfede0146,2026-09-04 13:02:47,2026-01-28 08:00:00,Player — Campus Apartments,New $144 million student housing development planned for Morehouse and Spelman - 95.5 WSB,https://news.google.com/rss/articles/CBMizgFBVV95cUxON0dSb2RRYVdicE5oWmQ4VGpia1I3MlV1YTRMbEY4b0M3LWFBZktGU05fUWZTcFRoNnNuUGk4dHBfVjluQjNNS2lNYU5RRGg4X3YtYkE3VHd5ODhqSDFKbDlxbHBkSUhwdzFpOHpBLXlWR3I1RzdvVS1HRHZ2cnIzOXVyTnZOc190RlZYMGR1dWVYcU5FUzlPX0pJQWFFdTZuUW9VZWI4cS1GOEtlSDNNY08zTHVrb0RKcFlDSGk4dDdoX2tCSjVMdndmMGxJUdIB4gFBVV95cUxPX2M2aGNaaEYxczc1Q0s4VUk0d2ZXN2t0dHZMYV83S1YtLTZYZERCVWF0VWZhTkQzY09TTURLM01CUkRINXZiRWMydS1kdjJVaW1zNXZhM096TUxJV0djZmVNQVpYU3BOUkJNRjVLOHRxTlhtNlo3NlA5UHFSRTFWWjN2aFBXQVpaeTR6d1FUaDZGWlZuV1FHdm5pVU04cVFYazhaMkRtU0lhQjdIVTFYU0ZTVENXSE90ZmZVV2RNZWZyREhDZElMOV8xWjRxS1ZUb3RXRFdobzBQUnQ3QTJ3MjF3?oc=5,New $144 million student housing development planned for Morehouse and Spelman    95.5 WSB,False,,,,Student Housing,,,False,
9532e8a4f234,2026-09-04 13:02:47,2026-01-29 08:00:00,Player — Campus Apartments,The cost and convenience of living off-campus at Penn - The Daily Pennsylvanian,https://news.google.com/rss/articles/CBMioAFBVV95cUxPM3VEd1Q2Z0dzMmFQNFhrdEdpQ3F2SlZRcHN5VUVZMjNSdnZwWWtqMWI2SEFwSWlOWDBER3dqZTFKaVQ5NVZ6bzN3Ry1Ua25zNnMwYmNMT25LeEhIalVweDZDZmRPenZsanU2eGh0eml0OXlSbnZlV1VRLUlZTnpJYnNvNDZxdkpuRXlycEhCX1owSXdndFNid1dDVkZkZXlh?oc=5,The cost and convenience of living off-campus at Penn    The Daily Pennsylvanian,False,,,,Student Housing,,,False,
d3042bf35657,2026-09-04 13:02:48,2026-01-05 08:00:00,Player — CA Ventures,Bender digs Ravenswood apartments out of CA Ventures distress with $29M deal - therealdeal.com,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOam51WUh6Vk10WGx4Qll3ZjM2N3REeU1FMjhRMVZwZFVjTFZ1MkN5eUlnWWpFUXFPLWFHamYzQ19WVkUyLWdVZy02ZlFzZ1hFME5OMGpKMjlvR0ZBR1dBenhlX3loR2NpeUtiNmpZbTlqNGpfV0pNbkhVZHZqem9QZjFIRWVqNVBqMnJ0eFdJUzA1LW9FekRrakpaaFNJd0hxeGlBZjBCRWs?oc=5,Bender digs Ravenswood apartments out of CA Ventures distress with $29M deal    therealdeal.com,False,,,,Student Housing,,,False,
f59f1c09a193,2026-09-04 13:02:48,2026-01-30 08:00:00,Player — CA Ventures,London Investors Acquire Belfast Student Housing from Receivership - Global Student Living,https://news.google.com/rss/articles/CBMiogFBVV95cUxNeWFJOG9SR1dlUFhEdkw3SV9wd2gwMXc4X0xPLVdYQW1JNmlqSy01UFpLdWRhWDdaT0dhcDZhZWJDVl9GaHh5V2w3Ymc5MHdfYnBLZE5pOXlDNzlYX2pjUlVabUxMZlg1dmVodmNwakduMjhqY2Y4SEEyV1VFU1dUTWQ0UTFwR095NFoyaGZPcnpwY3MtbXFnZEFJTTMwRUtfTlE?oc=5,London Investors Acquire Belfast Student Housing from Receivership    Global Student Living,False,,,,Student Housing,,,False,
