article_id,collected_at,published_at,source,title,url,summary,classified,category,event_tags,signal_type,sector,woomi_relevance,claude_rationale,access_limited,korean_summary
eb9e4cfcff16,2026-09-04 13:02:38,2025-12-18 08:00:00,Player — Landmark Properties,LP and MIM Announce Ann Arbor Student Housing Community - Landmark Properties,https://news.google.com/rss/articles/CBMi-AFBVV95cUxOd3NhYUJNS1ktMVJzWTBUSk9wNDhTaFBxajRac1JFZWxobkd2ZlpyZHgtWGRnNVFSbVBiblpmMTJkRlNWLTVpaGhXcElGbnNtdDVjeEx4d3h0cTZfRFpJU2NaNFZPSjFMeVdzNzRfckF2ZTlXeC0zWlhGU1o5cmtrWFBSd21MMS1XVF9yZlpSYWJtbGpJTTA2bFFqbDRBVFRJYjhZdkQwcFBQTnlqQ0N5c1ZZNXl3eVNtV2ozcVMyYldGbzF0WjIwM2UtM2FYUVVxbEloQW5qT0ZUM0pDQkYtVTZkc3ZwZFYwTWRhaWEzbkhnRE1xa0VIbg?oc=5,LP and MIM Announce Ann Arbor Student Housing Community    Landmark Properties,False,,,,Student Housing,,,False,
4eeed2a56f9e,2026-09-04 13:02:45,2025-12-04 08:00:00,Player — Student Quarters,In What Ways Is Student Housing a Different Animal Than Conventional Multifamily? InterFace Panel Weighs In - Multifamily & Affordable Housing Business,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPaW8zeEw5bTJnUF9mSnc3SDhyNjBWMW45UEozdHdobTdjcTVTR0JSUTZLbkNqd08zOG1rMEhXYVBGMGozem5qdWxGcFpsN243Tmw2SUc1TzNHSEk4U08xcFRNSV9PZ1ZXNkxTVWh2RUFxNWtZLXpFOXhYa2tHN3dLVmt6ZVh1d2R0emw2dlVYS2l5bFhwdjM4aWsyWlpmY0xXUVpVbkFadXY3X3lwdHRLNUhNUjl0M1FZYm9MY01MY3lILW9IZHNlZ0J4TXlWYW5STk9aMnVDa2w1TklrelNzczZ3?oc=5,In What Ways Is Student Housing a Different Animal Than Conventional Multifamily? InterFace Panel Weighs In    Multifamily & Affordable Housing Business,False,,,,Student Housing,,,False,
9a5acbc763d1,2026-09-04 13:02:46,2025-12-08 08:00:00,Player — Article Student Living,Intercontinental JV Picks Up Student Housing Community in Boise - Multifamily Housing News,https://news.google.com/rss/articles/CBMingFBVV95cUxPcy1FdGQ2S2xIa0ctaUJXM1hXVWxmT3ZseHlKZEhrS3l2b1N5NUVONVVvbDhOcG9uWmttWFpESFBnSlhnLUptSG9VVXNKTVA5REgxdXhibnVXcV90Y2NlM3FmMzZPdTM2Nkx4aUJyaW9tcTV5T0N2X190U2FkZzh3MDZ6RWJKOTJfdXBaZlhwMVdhdktDWG5NUGhDakladw?oc=5,Intercontinental JV Picks Up Student Housing Community in Boise    Multifamily Housing News,False,,,,Student Housing,,,False,
38756b5bfa7f,2026-09-04 13:02:47,2025-12-19 08:00:00,Player — Campus Apartments,"Connecticut College Announces End to Manwaring Lease, Off-Campus Housing - The College Voice",https://news.google.com/rss/articles/CBMisAFBVV95cUxOZkNUakhONVhvQmZ4VGhEbUhXMnlOUzZ5RVVrR2h5NVhRdUpkdGVPZW5tcXpucnZQanFVV013YXNmc182MkNJd0IxYmU4anRUWEpOWU5QZGlVNzRzdUZrakJTZXVtQ1RqSldKSV9EMjUxd2xEdlNNQmZ6YmNwRTBvejJDVmxyXzVBbDF4VW54ZE1fODFPdUlYUVI1c0Q1NmhfUzhHcjRvUlplTklrenVRdw?oc=5,"Connecticut College Announces End to Manwaring Lease, Off-Campus Housing    The College Voice",False,,,,Student Housing,,,False,
7474a8f0ffed,2026-09-04 13:02:50,2025-12-09 08:00:00,Player — Asset Living,The Myriad Broadens Student Housing Presence Across Saudi Arabia - Global Student Living,https://news.google.com/rss/articles/CBMinwFBVV95cUxNSThsLW9ULUw1UnFTOUUzVzAzU3ROT2xnVWVEYW85ZENSR0lZVGlKanBzRkRTNWc2VEY4YnhaSW9pd0N6YmNld1d0M2V0czFWWUwyWEdaVDZVeml1THlkRVhGOThrbGNnN1U3TjZYOWlycDd5U3loazFyZWkxd3FnaFVzbzRfUVMtaTVYUlRsdDRSdUxxQndkUFlCSm9pRWM?oc=5,The Myriad Broadens Student Housing Presence Across Saudi Arabia    Global Student Living,False,,,,Student Housing,,,False,
199294dc5d94,2026-09-04 13:02:51,2025-12-04 08:00:00,Player — Subtext,Subtext Makes 1st Student Housing Acquisition - Multifamily Housing News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNZVgxb1d0V0lEN1dlRG45Y2diU1NiM081VndyQ2NlU0t2WUZNTTJKWS15bklZUmJfdlFHSEJOeWF0VVJVVW5WVXJWZFpsZHVuWDdPNkpMaE15cFVsZlhlYURCUW1QQUJVbE5KbVVrbDdCQUp0Rmx3NkpUcFd2cDBGQnZqSEpIV1dF?oc=5,Subtext Makes 1st Student Housing Acquisition    Multifamily Housing News,False,,,,Student Housing,,,False,
d436fd96226e,2026-09-04 13:02:51,2025-12-04 08:00:00,Player — Subtext,Where are new student apartments being built in Lexington? A look at the projects - Lexington Herald Leader,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNTVVsYXNRckV5bzNoQ2xLUzFvU1hTODltSi1RSVBvMVNuVDZIRDMtN3lQeDFiZERqRGhXd0pUSjE0TF93elprVmh4TnFoWTlqbTlFSTc4UmxxQ09KUkNMWXUtTnB5bWtQQkRBXzU5UjBpaVFGMFd5bmcwYXhnS0ZhbnVEZW5RN2Uy0gGIAUFVX3lxTE9lQzh6ZWlmc1EyT1FHRk52T00xUUp1Vmg5WnJXZ1F4SGgzOXNFaHZhWTBMZ2RScC1TdUIzVVB6Y3QwT0VFNi1maEV0YzFkTjY4b2RYYWJiUWthdy15dUxGMVNWMjd3RjdoWUZiOWg4NjdLZ1VBbVdqbnFpQVdRQm4wWGFnaDFjVTk?oc=5,Where are new student apartments being built in Lexington? A look at the projects    Lexington Herald Leader,False,,,,Student Housing,,,False,
2f5d8d7cc318,2026-09-04 13:02:52,2025-12-15 08:00:00,Player — LV Collective,"LV’s delayed, downsized $106M East Austin mixed-use project now on track - therealdeal.com",https://news.google.com/rss/articles/CBMipwFBVV95cUxQNXM4a0Z3R0hGY1NzZ2pSOHQtZC0xQmx4c2l3cTJZZ3psaHhBRVhSNFpHV2JEUWpiRjZUbWR0RnFVTldQSDVKaUJMRXFRbE13ektJWlZMNm9vQTFXdFN0cnEtemFyWEhVUjFJczJaaFFYSGRNZVZHdTNDd0JoN2VKMWNKRzlGLTBhOUtsb2JiM21VMTZydXhWSzJSQkdyNGVnTTBXZ2xBYw?oc=5,"LV’s delayed, downsized $106M East Austin mixed-use project now on track    therealdeal.com",False,,,,Student Housing,,,False,
2371dbcef644,2026-09-04 13:02:52,2025-12-02 08:00:00,Player — LV Collective,"Inside Paseo, Rainey Street's newest mixed-use tower - The Business Journals",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQYkxfVm1Rb2xqc1FTM21jU1J0ZHpmLUNUbzhwZXNKeVQxZGhMd0ROYlhmVndfd3pfY2duTXF5bHVtM1p1M0YxOXkzUDFCTWcyR3FSUVhUMUhDT3A2VFBKTUxXQW8wa3Uzc3RvVlhyMW45eG5Fd2JmTU9GaW5INnZyYjhpSExpaTR1bVlLWHRSQkNUSHp6VU5tRmRpMXBReU4wWGRmQmxRSHk?oc=5,"Inside Paseo, Rainey Street's newest mixed-use tower    The Business Journals",False,,,,Student Housing,,,False,
8a6fb32b41b5,2026-09-04 13:02:52,2025-12-03 15:43:34,Player — LV Collective,"LV Collective, Kayne Anderson Buy 797-Bed Student Housing Community Near Texas A&M University - REBusinessOnline",https://news.google.com/rss/articles/CBMivgFBVV95cUxNQzhRQ1p4TUlKaW5manNSWEg2bWRHclZTNzFLU016YUtkQ1VoM0FST3h2dUlOdzRNZkRLc25DcW80aFB0UjFGU1RZV3hLUk53N0RWTFNrektpUW14OXB0a3VXbnJ0dDg4NWhwSnY5UlRXOVhnQ0xEck4xUXpUZ0FkcllYMC16ZDZQdXpwQXBULUY3SmhDN0ViZi11aWROU1R4eHh4b3I2dk1vNklKUFlHRS1ybzFjSWYtLWEtZ19B?oc=5,"LV Collective, Kayne Anderson Buy 797-Bed Student Housing Community Near Texas A&M University    REBusinessOnline",False,,,,Student Housing,,,False,
